D,date,season,year,month,holiday,weekday,workingday,weathersit,temperature,atemp,humidity,windspeed,casual,registered,count
20,1/20/2011,1.00,0.00,1.00,0.00,4.00,1.00,2,0.26167,0.25505,0.538333,0.195904,83.00,1844.00,1927.00
21,1/21/2011,1.00,0.00,1.00,0.00,5.00,1.00,1,0.17750,0.157833,0.457083,0.353242,75.00,1468.00,1543.00
22,1/22/2011,1.00,0.00,1.00,0.00,6.00,0.00,1,0.05913,0.0790696,0.400000,0.171970,93.00,888.00,981.00
23,1/23/2011,1.00,0.00,1.00,0.00,0.00,0.00,1,0.09652,0.0988391,0.436522,0.246600,150.00,836.00,986.00
24,1/24/2011,1.00,0.00,1.00,0.00,1.00,1.00,1,0.09739,0.11793,0.491739,0.158330,86.00,1330.00,1416.00
25,1/25/2011,1.00,0.00,1.00,0.00,2.00,1.00,2,0.22348,0.234526,0.616957,0.129796,186.00,1799.00,1985.00
26,1/26/2011,1.00,0.00,1.00,0.00,3.00,1.00,3,0.21750,0.2036,0.862500,0.293850,34.00,472.00,506.00
27,1/27/2011,1.00,0.00,1.00,0.00,4.00,1.00,1,0.19500,0.2197,0.687500,0.113837,15.00,416.00,431.00
28,1/28/2011,1.00,0.00,1.00,0.00,5.00,1.00,2,0.20348,0.223317,0.793043,0.123300,38.00,1129.00,1167.00
29,1/29/2011,1.00,0.00,1.00,0.00,6.00,0.00,1,0.19652,0.212126,0.651739,0.145365,123.00,975.00,1098.00
30,1/30/2011,1.00,0.00,1.00,0.00,0.00,0.00,1,0.21652,0.250322,0.722174,0.073983,140.00,956.00,1096.00
31,1/31/2011,1.00,0.00,1.00,0.00,1.00,1.00,2,0.18083,0.18625,0.603750,0.187192,42.00,1459.00,1501.00
32,2/1/2011,1.00,0.00,2.00,0.00,2.00,1.00,2,0.19217,0.23453,0.829565,0.053213,47.00,1313.00,1360.00
33,2/2/2011,1.00,0.00,2.00,0.00,3.00,1.00,2,0.26000,0.254417,0.775417,0.264308,72.00,1454.00,1526.00
34,2/3/2011,1.00,0.00,2.00,0.00,4.00,1.00,1,0.18696,0.177878,0.437826,0.277752,61.00,1489.00,1550.00
35,2/4/2011,1.00,0.00,2.00,0.00,5.00,1.00,2,0.21130,0.228587,0.585217,0.127839,88.00,1620.00,1708.00
36,2/5/2011,1.00,0.00,2.00,0.00,6.00,0.00,2,0.23333,0.243058,0.929167,0.161079,100.00,905.00,1005.00
37,2/6/2011,1.00,0.00,2.00,0.00,0.00,0.00,1,0.28583,0.291671,0.568333,0.141800,354.00,1269.00,1623.00
38,2/7/2011,1.00,0.00,2.00,0.00,1.00,1.00,1,0.27167,0.303658,0.738333,0.045408,120.00,1592.00,1712.00
39,2/8/2011,1.00,0.00,2.00,0.00,2.00,1.00,1,0.22083,0.198246,0.537917,0.361950,64.00,1466.00,1530.00
40,2/9/2011,1.00,0.00,2.00,0.00,3.00,1.00,2,0.13478,0.144283,0.494783,0.188839,53.00,1552.00,1605.00
41,2/10/2011,1.00,0.00,2.00,0.00,4.00,1.00,1,0.14435,0.149548,0.437391,0.221935,47.00,1491.00,1538.00
42,2/11/2011,1.00,0.00,2.00,0.00,5.00,1.00,1,0.18909,0.213509,0.506364,0.108550,149.00,1597.00,1746.00
43,2/12/2011,1.00,0.00,2.00,0.00,6.00,0.00,1,0.22250,0.232954,0.544167,0.203367,288.00,1184.00,1472.00
44,2/13/2011,1.00,0.00,2.00,0.00,0.00,0.00,1,0.31652,0.324113,0.457391,0.260883,397.00,1192.00,1589.00
45,2/14/2011,1.00,0.00,2.00,0.00,1.00,1.00,1,0.41500,0.39835,0.375833,0.417908,208.00,1705.00,1913.00
46,2/15/2011,1.00,0.00,2.00,0.00,2.00,1.00,1,0.26609,0.254274,0.314348,0.291374,140.00,1675.00,1815.00
47,2/16/2011,1.00,0.00,2.00,0.00,3.00,1.00,1,0.31826,0.3162,0.423478,0.251791,218.00,1897.00,2115.00
48,2/17/2011,1.00,0.00,2.00,0.00,4.00,1.00,1,0.43583,0.428658,0.505000,0.230104,259.00,2216.00,2475.00
49,2/18/2011,1.00,0.00,2.00,0.00,5.00,1.00,1,0.52167,0.511983,0.516667,0.264925,579.00,2348.00,2927.00
50,2/19/2011,1.00,0.00,2.00,0.00,6.00,0.00,1,0.39917,0.391404,0.187917,0.507463,532.00,1103.00,1635.00
51,2/20/2011,1.00,0.00,2.00,0.00,0.00,0.00,1,0.28522,0.27733,0.407826,0.223235,639.00,1173.00,1812.00
52,2/21/2011,1.00,0.00,2.00,1.00,1.00,0.00,2,0.30333,0.284075,0.605000,0.307846,195.00,912.00,1107.00
53,2/22/2011,1.00,0.00,2.00,0.00,2.00,1.00,1,0.18222,0.186033,0.577778,0.195683,74.00,1376.00,1450.00
54,2/23/2011,1.00,0.00,2.00,0.00,3.00,1.00,1,0.22174,0.245717,0.423043,0.094113,139.00,1778.00,1917.00
55,2/24/2011,1.00,0.00,2.00,0.00,4.00,1.00,2,0.29565,0.289191,0.697391,0.250496,100.00,1707.00,1807.00
56,2/25/2011,1.00,0.00,2.00,0.00,5.00,1.00,2,0.36435,0.350461,0.712174,0.346539,120.00,1341.00,1461.00
57,2/26/2011,1.00,0.00,2.00,0.00,6.00,0.00,1,0.28250,0.282192,0.537917,0.186571,424.00,1545.00,1969.00
58,2/27/2011,1.00,0.00,2.00,0.00,0.00,0.00,1,0.34348,0.351109,0.680000,0.125248,694.00,1708.00,2402.00
59,2/28/2011,1.00,0.00,2.00,0.00,1.00,1.00,2,0.40727,0.400118,0.876364,0.289686,81.00,1365.00,1446.00
60,3/1/2011,1.00,0.00,3.00,0.00,2.00,1.00,1,0.26667,0.263879,0.535000,0.216425,137.00,1714.00,1851.00
61,3/2/2011,1.00,0.00,3.00,0.00,3.00,1.00,1,0.33500,0.320071,0.449583,0.307833,231.00,1903.00,2134.00
62,3/3/2011,1.00,0.00,3.00,0.00,4.00,1.00,1,0.19833,0.200133,0.318333,0.225754,123.00,1562.00,1685.00
63,3/4/2011,1.00,0.00,3.00,0.00,5.00,1.00,2,0.26167,0.255679,0.610417,0.203346,214.00,1730.00,1944.00
64,3/5/2011,1.00,0.00,3.00,0.00,6.00,0.00,2,0.38417,0.378779,0.789167,0.251871,640.00,1437.00,2077.00
65,3/6/2011,1.00,0.00,3.00,0.00,0.00,0.00,2,0.37652,0.366252,0.948261,0.343287,114.00,491.00,605.00
66,3/7/2011,1.00,0.00,3.00,0.00,1.00,1.00,1,0.26174,0.238461,0.551304,0.341352,244.00,1628.00,1872.00
67,3/8/2011,1.00,0.00,3.00,0.00,2.00,1.00,1,0.29250,0.3024,0.420833,0.120650,316.00,1817.00,2133.00
68,3/9/2011,1.00,0.00,3.00,0.00,3.00,1.00,2,0.29583,0.286608,0.775417,0.220150,191.00,1700.00,1891.00
69,3/10/2011,1.00,0.00,3.00,0.00,4.00,1.00,3,0.38909,0.385668,0.000000,0.261877,46.00,577.00,623.00
70,3/11/2011,1.00,0.00,3.00,0.00,5.00,1.00,2,0.31652,0.305,0.649565,0.232970,247.00,1730.00,1977.00
71,3/12/2011,1.00,0.00,3.00,0.00,6.00,0.00,1,0.32917,0.32575,0.594583,0.220775,724.00,1408.00,2132.00
72,3/13/2011,1.00,0.00,3.00,0.00,0.00,0.00,1,0.38435,0.380091,0.527391,0.270604,982.00,1435.00,2417.00
73,3/14/2011,1.00,0.00,3.00,0.00,1.00,1.00,1,0.32522,0.332,0.496957,0.136926,359.00,1687.00,2046.00
74,3/15/2011,1.00,0.00,3.00,0.00,2.00,1.00,2,0.31739,0.318178,0.655652,0.184309,289.00,1767.00,2056.00
75,3/16/2011,1.00,0.00,3.00,0.00,3.00,1.00,2,0.36522,0.36693,0.776522,0.203117,321.00,1871.00,2192.00
76,3/17/2011,1.00,0.00,3.00,0.00,4.00,1.00,1,0.41500,0.410333,0.602917,0.209579,424.00,2320.00,2744.00
77,3/18/2011,1.00,0.00,3.00,0.00,5.00,1.00,1,0.54000,0.527009,0.525217,0.231017,884.00,2355.00,3239.00
78,3/19/2011,1.00,0.00,3.00,0.00,6.00,0.00,1,0.47250,0.466525,0.379167,0.368167,1424.00,1693.00,3117.00
79,3/20/2011,1.00,0.00,3.00,0.00,0.00,0.00,1,0.33250,0.32575,0.473750,0.207721,1047.00,1424.00,2471.00
80,3/21/2011,2.00,0.00,3.00,0.00,1.00,1.00,2,0.43044,0.409735,0.737391,0.288783,401.00,1676.00,2077.00
81,3/22/2011,2.00,0.00,3.00,0.00,2.00,1.00,1,0.44167,0.440642,0.624583,0.225750,460.00,2243.00,2703.00
82,3/23/2011,2.00,0.00,3.00,0.00,3.00,1.00,2,0.34696,0.337939,0.839565,0.234261,203.00,1918.00,2121.00
83,3/24/2011,2.00,0.00,3.00,0.00,4.00,1.00,2,0.28500,0.270833,0.805833,0.243787,166.00,1699.00,1865.00
84,3/25/2011,2.00,0.00,3.00,0.00,5.00,1.00,1,0.26417,0.256312,0.495000,0.230725,300.00,1910.00,2210.00
85,3/26/2011,2.00,0.00,3.00,0.00,6.00,0.00,1,0.26583,0.257571,0.394167,0.209571,981.00,1515.00,2496.00
86,3/27/2011,2.00,0.00,3.00,0.00,0.00,0.00,2,0.25304,0.250339,0.493913,0.184300,472.00,1221.00,1693.00
87,3/28/2011,2.00,0.00,3.00,0.00,1.00,1.00,1,0.26435,0.257574,0.302174,0.212204,222.00,1806.00,2028.00
88,3/29/2011,2.00,0.00,3.00,0.00,2.00,1.00,1,0.30250,0.292908,0.314167,0.226996,317.00,2108.00,2425.00
89,3/30/2011,2.00,0.00,3.00,0.00,3.00,1.00,2,0.30000,0.29735,0.646667,0.172888,168.00,1368.00,1536.00
90,3/31/2011,2.00,0.00,3.00,0.00,4.00,1.00,3,0.26833,0.257575,0.918333,0.217646,179.00,1506.00,1685.00
91,4/1/2011,2.00,0.00,4.00,0.00,5.00,1.00,2,0.30000,0.283454,0.686250,0.258708,307.00,1920.00,2227.00
92,4/2/2011,2.00,0.00,4.00,0.00,6.00,0.00,2,0.31500,0.315637,0.653750,0.197146,898.00,1354.00,2252.00
93,4/3/2011,2.00,0.00,4.00,0.00,0.00,0.00,1,0.37833,0.378767,0.480000,0.182213,1651.00,1598.00,3249.00
94,4/4/2011,2.00,0.00,4.00,0.00,1.00,1.00,1,0.57333,0.542929,0.426250,0.385571,734.00,2381.00,3115.00
95,4/5/2011,2.00,0.00,4.00,0.00,2.00,1.00,2,0.41417,0.39835,0.642083,0.388067,167.00,1628.00,1795.00
96,4/6/2011,2.00,0.00,4.00,0.00,3.00,1.00,1,0.39083,0.387608,0.470833,0.263063,413.00,2395.00,2808.00
97,4/7/2011,2.00,0.00,4.00,0.00,4.00,1.00,1,0.43750,0.433696,0.602917,0.162312,571.00,2570.00,3141.00
98,4/8/2011,2.00,0.00,4.00,0.00,5.00,1.00,2,0.33583,0.324479,0.836250,0.226992,172.00,1299.00,1471.00
99,4/9/2011,2.00,0.00,4.00,0.00,6.00,0.00,2,0.34250,0.341529,0.877500,0.133083,879.00,1576.00,2455.00
100,4/10/2011,2.00,0.00,4.00,0.00,0.00,0.00,2,0.42667,0.426737,0.857500,0.146767,1188.00,1707.00,2895.00
101,4/11/2011,2.00,0.00,4.00,0.00,1.00,1.00,2,0.59565,0.565217,0.716956,0.324474,855.00,2493.00,3348.00
102,4/12/2011,2.00,0.00,4.00,0.00,2.00,1.00,2,0.50250,0.493054,0.739167,0.274879,257.00,1777.00,2034.00
103,4/13/2011,2.00,0.00,4.00,0.00,3.00,1.00,2,0.41250,0.417283,0.819167,0.250617,209.00,1953.00,2162.00
104,4/14/2011,2.00,0.00,4.00,0.00,4.00,1.00,1,0.46750,0.462742,0.540417,0.110700,529.00,2738.00,3267.00
105,4/15/2011,2.00,0.00,4.00,1.00,5.00,0.00,1,0.44667,0.441913,0.671250,0.226375,642.00,2484.00,3126.00
106,4/16/2011,2.00,0.00,4.00,0.00,6.00,0.00,3,0.43083,0.425492,0.888333,0.340808,121.00,674.00,795.00
107,4/17/2011,2.00,0.00,4.00,0.00,0.00,0.00,1,0.45667,0.445696,0.479583,0.303496,1558.00,2186.00,3744.00
108,4/18/2011,2.00,0.00,4.00,0.00,1.00,1.00,1,0.51250,0.503146,0.542500,0.163567,669.00,2760.00,3429.00
109,4/19/2011,2.00,0.00,4.00,0.00,2.00,1.00,2,0.50583,0.489258,0.665833,0.157971,409.00,2795.00,3204.00
110,4/20/2011,2.00,0.00,4.00,0.00,3.00,1.00,1,0.59500,0.564392,0.614167,0.241925,613.00,3331.00,3944.00
111,4/21/2011,2.00,0.00,4.00,0.00,4.00,1.00,1,0.45917,0.453892,0.407083,0.325258,745.00,3444.00,4189.00
112,4/22/2011,2.00,0.00,4.00,0.00,5.00,1.00,2,0.33667,0.321954,0.729583,0.219521,177.00,1506.00,1683.00
113,4/23/2011,2.00,0.00,4.00,0.00,6.00,0.00,2,0.46000,0.450121,0.887917,0.230725,1462.00,2574.00,4036.00
114,4/24/2011,2.00,0.00,4.00,0.00,0.00,0.00,2,0.58167,0.551763,0.810833,0.192175,1710.00,2481.00,4191.00
115,4/25/2011,2.00,0.00,4.00,0.00,1.00,1.00,1,0.60667,0.5745,0.776667,0.185333,773.00,3300.00,4073.00
116,4/26/2011,2.00,0.00,4.00,0.00,2.00,1.00,1,0.63167,0.594083,0.729167,0.326500,678.00,3722.00,4400.00
117,4/27/2011,2.00,0.00,4.00,0.00,3.00,1.00,2,0.62000,0.575142,0.835417,0.312200,547.00,3325.00,3872.00
118,4/28/2011,2.00,0.00,4.00,0.00,4.00,1.00,2,0.61750,0.578929,0.700833,0.320908,569.00,3489.00,4058.00
119,4/29/2011,2.00,0.00,4.00,0.00,5.00,1.00,1,0.51000,0.497463,0.457083,0.240063,878.00,3717.00,4595.00
120,4/30/2011,2.00,0.00,4.00,0.00,6.00,0.00,1,0.47250,0.464021,0.503333,0.235075,1965.00,3347.00,5312.00
121,5/1/2011,2.00,0.00,5.00,0.00,0.00,0.00,2,0.45167,0.448204,0.762083,0.106354,1138.00,2213.00,3351.00
122,5/2/2011,2.00,0.00,5.00,0.00,1.00,1.00,2,0.54917,0.532833,0.730000,0.183454,847.00,3554.00,4401.00
123,5/3/2011,2.00,0.00,5.00,0.00,2.00,1.00,2,0.61667,0.582079,0.697083,0.342667,603.00,3848.00,4451.00
124,5/4/2011,2.00,0.00,5.00,0.00,3.00,1.00,2,0.41417,0.40465,0.737083,0.328996,255.00,2378.00,2633.00
125,5/5/2011,2.00,0.00,5.00,0.00,4.00,1.00,1,0.45917,0.441917,0.444167,0.295392,614.00,3819.00,4433.00
126,5/6/2011,2.00,0.00,5.00,0.00,5.00,1.00,1,0.47917,0.474117,0.590000,0.228246,894.00,3714.00,4608.00
127,5/7/2011,2.00,0.00,5.00,0.00,6.00,0.00,1,0.52000,0.512621,0.541250,0.160450,1612.00,3102.00,4714.00
128,5/8/2011,2.00,0.00,5.00,0.00,0.00,0.00,1,0.52833,0.518933,0.631667,0.074638,1401.00,2932.00,4333.00
129,5/9/2011,2.00,0.00,5.00,0.00,1.00,1.00,1,0.53250,0.525246,0.588750,0.176000,664.00,3698.00,4362.00
130,5/10/2011,2.00,0.00,5.00,0.00,2.00,1.00,1,0.53250,0.522721,0.489167,0.115671,694.00,4109.00,4803.00
131,5/11/2011,2.00,0.00,5.00,0.00,3.00,1.00,1,0.54250,0.5284,0.632917,0.120642,550.00,3632.00,4182.00
132,5/12/2011,2.00,0.00,5.00,0.00,4.00,1.00,1,0.53500,0.523363,0.747500,0.189667,695.00,4169.00,4864.00
133,5/13/2011,2.00,0.00,5.00,0.00,5.00,1.00,2,0.51250,0.4943,0.863333,0.179725,692.00,3413.00,4105.00
134,5/14/2011,2.00,0.00,5.00,0.00,6.00,0.00,2,0.52083,0.500629,0.922500,0.134950,902.00,2507.00,3409.00
135,5/15/2011,2.00,0.00,5.00,0.00,0.00,0.00,2,0.56250,0.536,0.867083,0.152979,1582.00,2971.00,4553.00
136,5/16/2011,2.00,0.00,5.00,0.00,1.00,1.00,1,0.57750,0.550512,0.787917,0.126871,773.00,3185.00,3958.00
137,5/17/2011,2.00,0.00,5.00,0.00,2.00,1.00,2,0.56167,0.538529,0.837917,0.277354,678.00,3445.00,4123.00
138,5/18/2011,2.00,0.00,5.00,0.00,3.00,1.00,2,0.55000,0.527158,0.870000,0.201492,536.00,3319.00,3855.00
139,5/19/2011,2.00,0.00,5.00,0.00,4.00,1.00,2,0.53083,0.510742,0.829583,0.108213,735.00,3840.00,4575.00
140,5/20/2011,2.00,0.00,5.00,0.00,5.00,1.00,1,0.53667,0.529042,0.719583,0.125013,909.00,4008.00,4917.00
141,5/21/2011,2.00,0.00,5.00,0.00,6.00,0.00,1,0.60250,0.571975,0.626667,0.120650,2258.00,3547.00,5805.00
142,5/22/2011,2.00,0.00,5.00,0.00,0.00,0.00,1,0.60417,0.5745,0.749583,0.148008,1576.00,3084.00,4660.00
143,5/23/2011,2.00,0.00,5.00,0.00,1.00,1.00,2,0.63167,0.590296,0.810000,0.233842,836.00,3438.00,4274.00
144,5/24/2011,2.00,0.00,5.00,0.00,2.00,1.00,2,0.66000,0.604813,0.740833,0.207092,659.00,3833.00,4492.00
145,5/25/2011,2.00,0.00,5.00,0.00,3.00,1.00,1,0.66083,0.615542,0.696250,0.154233,740.00,4238.00,4978.00
146,5/26/2011,2.00,0.00,5.00,0.00,4.00,1.00,1,0.70833,0.654688,0.677500,0.199642,758.00,3919.00,4677.00
147,5/27/2011,2.00,0.00,5.00,0.00,5.00,1.00,1,0.68167,0.637008,0.653750,0.240679,871.00,3808.00,4679.00
148,5/28/2011,2.00,0.00,5.00,0.00,6.00,0.00,1,0.65583,0.612379,0.729583,0.230092,2001.00,2757.00,4758.00
149,5/29/2011,2.00,0.00,5.00,0.00,0.00,0.00,1,0.66750,0.61555,0.818750,0.213938,2355.00,2433.00,4788.00
150,5/30/2011,2.00,0.00,5.00,1.00,1.00,0.00,1,0.73333,0.671092,0.685000,0.131225,1549.00,2549.00,4098.00
151,5/31/2011,2.00,0.00,5.00,0.00,2.00,1.00,1,0.77500,0.725383,0.636667,0.111329,673.00,3309.00,3982.00
152,6/1/2011,2.00,0.00,6.00,0.00,3.00,1.00,2,0.76417,0.720967,0.677083,0.207092,513.00,3461.00,3974.00
153,6/2/2011,2.00,0.00,6.00,0.00,4.00,1.00,1,0.71500,0.643942,0.305000,0.292287,736.00,4232.00,4968.00
154,6/3/2011,2.00,0.00,6.00,0.00,5.00,1.00,1,0.62000,0.587133,0.354167,0.253121,898.00,4414.00,5312.00
155,6/4/2011,2.00,0.00,6.00,0.00,6.00,0.00,1,0.63500,0.594696,0.456250,0.123142,1869.00,3473.00,5342.00
156,6/5/2011,2.00,0.00,6.00,0.00,0.00,0.00,2,0.64833,0.616804,0.652500,0.138692,1685.00,3221.00,4906.00
157,6/6/2011,2.00,0.00,6.00,0.00,1.00,1.00,1,0.67833,0.621858,0.600000,0.121896,673.00,3875.00,4548.00
158,6/7/2011,2.00,0.00,6.00,0.00,2.00,1.00,1,0.70750,0.65595,0.597917,0.187808,763.00,4070.00,4833.00
159,6/8/2011,2.00,0.00,6.00,0.00,3.00,1.00,1,0.77583,0.727279,0.622083,0.136817,676.00,3725.00,4401.00
160,6/9/2011,2.00,0.00,6.00,0.00,4.00,1.00,2,0.80833,0.757579,0.568333,0.149883,563.00,3352.00,3915.00
161,6/10/2011,2.00,0.00,6.00,0.00,5.00,1.00,1,0.75500,0.703292,0.605000,0.140554,815.00,3771.00,4586.00
162,6/11/2011,2.00,0.00,6.00,0.00,6.00,0.00,1,0.72500,0.678038,0.654583,0.154850,1729.00,3237.00,4966.00
163,6/12/2011,2.00,0.00,6.00,0.00,0.00,0.00,1,0.69250,0.643325,0.747917,0.163567,1467.00,2993.00,4460.00
164,6/13/2011,2.00,0.00,6.00,0.00,1.00,1.00,1,0.63500,0.601654,0.494583,0.305350,863.00,4157.00,5020.00
165,6/14/2011,2.00,0.00,6.00,0.00,2.00,1.00,1,0.60417,0.591546,0.507083,0.269283,727.00,4164.00,4891.00
166,6/15/2011,2.00,0.00,6.00,0.00,3.00,1.00,1,0.62667,0.587754,0.471667,0.167912,769.00,4411.00,5180.00
167,6/16/2011,2.00,0.00,6.00,0.00,4.00,1.00,2,0.62833,0.595346,0.688333,0.206471,545.00,3222.00,3767.00
168,6/17/2011,2.00,0.00,6.00,0.00,5.00,1.00,1,0.64917,0.600383,0.735833,0.143029,863.00,3981.00,4844.00
169,6/18/2011,2.00,0.00,6.00,0.00,6.00,0.00,1,0.69667,0.643954,0.670417,0.119408,1807.00,3312.00,5119.00
170,6/19/2011,2.00,0.00,6.00,0.00,0.00,0.00,2,0.69917,0.645846,0.666667,0.102000,1639.00,3105.00,4744.00
171,6/20/2011,2.00,0.00,6.00,0.00,1.00,1.00,2,0.63500,0.595346,0.746250,0.155475,699.00,3311.00,4010.00
172,6/21/2011,3.00,0.00,6.00,0.00,2.00,1.00,2,0.68083,0.637646,0.770417,0.171025,774.00,4061.00,4835.00
173,6/22/2011,3.00,0.00,6.00,0.00,3.00,1.00,1,0.73333,0.693829,0.707500,0.172262,661.00,3846.00,4507.00
174,6/23/2011,3.00,0.00,6.00,0.00,4.00,1.00,2,0.72833,0.693833,0.703333,0.238804,746.00,4044.00,4790.00
175,6/24/2011,3.00,0.00,6.00,0.00,5.00,1.00,1,0.72417,0.656583,0.573333,0.222025,969.00,4022.00,4991.00
176,6/25/2011,3.00,0.00,6.00,0.00,6.00,0.00,1,0.69500,0.643313,0.483333,0.209571,1782.00,3420.00,5202.00
177,6/26/2011,3.00,0.00,6.00,0.00,0.00,0.00,1,0.68000,0.637629,0.513333,0.094533,1920.00,3385.00,5305.00
178,6/27/2011,3.00,0.00,6.00,0.00,1.00,1.00,2,0.68250,0.637004,0.658333,0.107588,854.00,3854.00,4708.00
179,6/28/2011,3.00,0.00,6.00,0.00,2.00,1.00,1,0.74417,0.692558,0.634167,0.144283,732.00,3916.00,4648.00
180,6/29/2011,3.00,0.00,6.00,0.00,3.00,1.00,1,0.72833,0.654688,0.497917,0.261821,848.00,4377.00,5225.00
181,6/30/2011,3.00,0.00,6.00,0.00,4.00,1.00,1,0.69667,0.637008,0.434167,0.185312,1027.00,4488.00,5515.00
182,7/1/2011,3.00,0.00,7.00,0.00,5.00,1.00,1,0.72250,0.652162,0.396250,0.102608,1246.00,4116.00,5362.00
183,7/2/2011,3.00,0.00,7.00,0.00,6.00,0.00,1,0.73833,0.667308,0.444583,0.115062,2204.00,2915.00,5119.00
184,7/3/2011,3.00,0.00,7.00,0.00,0.00,0.00,2,0.71667,0.668575,0.682500,0.228858,2282.00,2367.00,4649.00
185,7/4/2011,3.00,0.00,7.00,1.00,1.00,0.00,2,0.72667,0.665417,0.637917,0.081479,3065.00,2978.00,6043.00
186,7/5/2011,3.00,0.00,7.00,0.00,2.00,1.00,1,0.74667,0.696338,0.590417,0.126258,1031.00,3634.00,4665.00
187,7/6/2011,3.00,0.00,7.00,0.00,3.00,1.00,1,0.72000,0.685633,0.743333,0.149883,784.00,3845.00,4629.00
188,7/7/2011,3.00,0.00,7.00,0.00,4.00,1.00,1,0.75000,0.686871,0.651250,0.159200,754.00,3838.00,4592.00
189,7/8/2011,3.00,0.00,7.00,0.00,5.00,1.00,2,0.70917,0.670483,0.757917,0.225129,692.00,3348.00,4040.00
190,7/9/2011,3.00,0.00,7.00,0.00,6.00,0.00,1,0.73333,0.664158,0.609167,0.167912,1988.00,3348.00,5336.00
191,7/10/2011,3.00,0.00,7.00,0.00,0.00,0.00,1,0.74750,0.690025,0.578333,0.183471,1743.00,3138.00,4881.00
192,7/11/2011,3.00,0.00,7.00,0.00,1.00,1.00,1,0.76250,0.729804,0.635833,0.282337,723.00,3363.00,4086.00
193,7/12/2011,3.00,0.00,7.00,0.00,2.00,1.00,1,0.79417,0.739275,0.559167,0.200254,662.00,3596.00,4258.00
194,7/13/2011,3.00,0.00,7.00,0.00,3.00,1.00,1,0.74667,0.689404,0.631667,0.146133,748.00,3594.00,4342.00
195,7/14/2011,3.00,0.00,7.00,0.00,4.00,1.00,1,0.68083,0.635104,0.476250,0.240667,888.00,4196.00,5084.00
196,7/15/2011,3.00,0.00,7.00,0.00,5.00,1.00,1,0.66333,0.624371,0.591250,0.182833,1318.00,4220.00,5538.00
197,7/16/2011,3.00,0.00,7.00,0.00,6.00,0.00,1,0.68667,0.638263,0.585000,0.208342,2418.00,3505.00,5923.00
198,7/17/2011,3.00,0.00,7.00,0.00,0.00,0.00,1,0.71917,0.669833,0.604167,0.245033,2006.00,3296.00,5302.00
199,7/18/2011,3.00,0.00,7.00,0.00,1.00,1.00,1,0.74667,0.703925,0.651250,0.215804,841.00,3617.00,4458.00
200,7/19/2011,3.00,0.00,7.00,0.00,2.00,1.00,1,0.77667,0.747479,0.650417,0.130600,752.00,3789.00,4541.00
201,7/20/2011,3.00,0.00,7.00,0.00,3.00,1.00,1,0.76833,0.74685,0.707083,0.113817,644.00,3688.00,4332.00
